sample_TAG,species,season,zone,site,num_increment,delta13C,delta15N,C_percent,N_percent,source,labels,taxa,feeding_mode,mobility,lip_dw_percent,class,stade,length_TL_cm,lon,lat
ABRAALB_47_D1309,Abra_alba,spring,Embouchure,EM47,D1309,-19.308567255719442,8.372206067819599,43.62709436896267,9.841154854151563,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_52_D1311,Abra_alba,spring,Embouchure,EM52,D1311,-19.383997461632053,8.760975371489367,21.481059516075863,10.544075685527265,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_52_D1315,Abra_alba,spring,Embouchure,EM52,D1315,-19.219460937696525,7.160461830469428,34.35134277893257,5.5878559832042924,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_CAPES2_D1390,Abra_alba,spring,Embouchure,CAPES2,D1390,-20.304077794984025,7.034930973495545,29.505311580197446,4.840776385727791,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_47_D1463,Abra_alba,autumn,Embouchure,EM47,D1463,-18.55861333497305,9.704868631338588,46.27374922223487,12.230967353214051,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_52_D1445,Abra_alba,autumn,Embouchure,EM52,D1445,-18.141515747415433,9.402113674053176,47.400830337823805,13.419521068990795,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_52_D1446,Abra_alba,autumn,Embouchure,EM52,D1446,-18.507849762400287,9.16996055218381,48.47167336680924,12.568875703607649,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
ABRAALB_CAPES1_D1357,Abra_alba,autumn,Embouchure,CAPES1,D1357,-17.38330795467541,10.543859941161813,41.45090039277367,10.841209928194443,CAPES,Abra a.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
CERSEDU_12_D1469,Cerastoderma_edule,spring,Fosse Sud,FS12,D1469,-22.685485573103097,8.62763104822696,40.82737983248032,9.320475804629828,CAPES,Cerastoderma e.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
CERSEDU_12_D1543,Cerastoderma_edule,spring,Fosse Sud,FS12,D1543,-22.27078876077182,9.451504127026709,44.12611634480765,11.502668778709682,CAPES,Cerastoderma e.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
CERSEDU_19_D1391,Cerastoderma_edule,spring,Fosse Sud,FS19,D1391,-22.7207840138282,8.779053640590552,40.0729336341416,7.9825852821396825,CAPES,Cerastoderma e.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
CERSEDU_19_D1412,Cerastoderma_edule,spring,Fosse Sud,FS19,D1412,-21.513585008461497,9.841521487811077,44.07855933868034,11.085235992352393,CAPES,Cerastoderma e.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
CERSEDU_26_D1507,Cerastoderma_edule,spring,Fosse Sud,26,D1507,-21.26668441419696,8.25226511148574,38.768709809941285,9.255852688662387,CAPES,Cerastoderma e.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
